Tipo 1,Tipo 2,Tipo 3,Patogeno
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,39,28,63
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
63,40,28,62
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,28,61
64,40,27,62
64,40,27,62
64,40,27,62
64,40,27,62
64,40,27,62
64,40,27,62
64,40,27,62
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
64,41,27,61
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,27,60
65,41,28,59
65,41,28,59
65,41,28,59
65,41,28,59
65,41,28,59
65,41,28,59
64,41,28,60
64,41,28,60
65,41,28,59
65,41,28,59
66,41,28,58
66,41,28,58
66,41,28,58
67,41,28,57
67,41,28,57
68,41,28,56
69,41,28,55
69,41,28,55
69,41,28,55
69,41,28,55
69,41,28,55
69,41,28,55
69,41,28,55
70,41,28,54
70,41,28,54
70,41,28,54
69,41,28,55
69,41,28,55
70,41,28,54
70,41,28,54
70,41,28,54
70,41,28,54
70,41,28,54
70,41,28,54
70,41,28,54
70,42,28,53
70,42,28,53
70,42,28,53
70,42,28,53
70,42,28,53
70,42,28,53
70,42,28,53
70,42,28,53
70,42,29,52
70,42,29,52
70,42,29,52
70,42,29,52
70,42,29,52
70,42,29,52
70,42,29,52
70,41,29,53
70,41,29,53
70,41,29,53
70,41,29,53
70,41,29,53
71,41,29,52
71,41,29,52
69,41,32,51
70,40,31,52
71,38,32,52
72,37,32,52
71,35,34,53
72,36,33,52
73,35,33,52
73,35,33,52
72,35,33,53
75,35,33,50
74,36,34,49
75,35,36,47
76,35,38,44
76,36,38,43
76,35,38,44
75,35,39,44
74,35,39,45
75,34,40,44
75,36,40,42
75,36,41,41
76,38,42,37
78,39,42,34
80,39,43,31
81,38,45,29
81,38,45,29
81,38,45,29
80,39,46,28
80,40,46,27
80,40,45,28
80,41,44,28
80,41,44,28
80,42,44,27
81,43,42,27
81,43,42,27
79,42,42,30
79,41,43,30
78,42,42,31
79,42,42,30
81,42,41,29
81,40,40,32
80,40,40,33
81,40,40,32
81,40,40,32
82,41,40,30
82,43,40,28
82,44,41,26
83,44,41,25
84,43,42,24
85,43,42,23
87,43,42,21
87,43,42,21
85,43,42,23
84,44,42,23
86,44,42,21
85,45,43,20
85,44,43,21
87,46,43,17
87,46,42,18
87,46,43,17
88,45,43,17
90,45,43,15
89,45,44,15
90,43,44,16
89,43,44,17
92,43,44,14
91,42,44,16
90,43,44,16
91,42,44,16
91,42,44,16
92,42,42,17
94,41,42,16
93,42,42,16
93,42,41,17
94,42,41,16
95,42,41,15
98,43,41,11
98,43,41,11
99,43,41,10
99,43,41,10
100,42,41,10
99,42,41,11
100,42,41,10
100,41,42,10
101,41,42,9
101,41,42,9
101,41,42,9
101,41,42,9
102,41,42,8
101,41,42,9
100,42,42,9
99,41,42,11
98,42,42,11
98,42,41,12
98,42,41,12
99,42,41,11
99,43,41,10
99,42,41,11
99,43,42,9
100,43,42,8
100,43,42,8
100,43,42,8
100,42,42,9
102,42,42,7
102,41,42,8
104,41,42,6
104,41,42,6
103,41,41,8
104,40,41,8
104,40,41,8
104,40,41,8
104,40,41,8
104,40,41,8
103,40,41,9
104,40,41,8
103,41,41,8
103,43,41,6
104,43,41,5
105,43,41,4
105,43,41,4
105,43,41,4
105,43,41,4
106,43,41,3
106,43,41,3
106,43,41,3
106,43,41,3
106,43,41,3
107,43,41,2
107,43,41,2
107,43,41,2
106,43,41,3
106,43,41,3
106,43,41,3
106,43,41,3
106,43,41,3
106,43,41,3
106,43,41,3
106,44,41,2
106,44,41,2
106,44,41,2
106,44,41,2
106,44,41,2
106,44,41,2
106,44,41,2
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,45,41,1
106,46,41,0
106,46,41,0
106,46,41,0
106,46,41,0
