Tipo 1,Tipo 2,Tipo 3,Patogeno
97,101,96,106
97,101,96,106
98,101,96,105
98,101,96,105
99,101,96,104
99,101,96,104
100,100,96,104
100,100,96,104
100,100,96,104
100,100,96,104
100,100,96,104
101,100,95,104
102,99,96,103
105,99,98,98
107,99,97,97
106,99,98,97
104,100,100,96
100,99,104,97
102,99,103,96
105,98,101,96
105,94,102,99
104,94,104,98
103,94,102,101
103,94,102,101
103,95,105,97
105,95,104,96
108,90,103,99
108,90,102,100
108,90,102,100
108,89,102,101
106,88,102,104
106,86,102,106
107,85,102,106
106,85,101,108
104,85,103,108
104,85,103,108
103,87,103,107
103,85,103,109
105,84,103,108
105,84,102,109
105,85,103,107
105,88,102,105
104,86,101,109
103,89,103,105
104,89,103,104
105,87,102,106
104,87,103,106
103,88,104,105
102,89,105,104
100,87,107,106
100,86,106,108
99,89,103,109
98,89,103,110
97,91,103,109
97,92,103,108
100,91,102,107
101,92,104,103
102,91,104,103
101,91,104,104
100,92,102,106
100,93,99,108
100,93,101,106
103,95,100,102
106,93,96,105
108,93,97,102
112,92,96,100
111,92,96,101
108,92,97,103
107,94,98,101
107,94,101,98
108,94,101,97
111,93,101,95
111,91,102,96
110,92,103,95
110,92,104,94
108,91,103,98
110,93,102,95
110,94,102,94
115,95,100,90
113,98,99,90
110,99,101,90
108,100,101,91
106,102,98,94
107,101,97,95
106,101,98,95
107,101,99,93
103,104,97,96
102,109,93,96
102,108,94,96
101,109,94,96
100,109,94,97
101,108,94,97
101,110,93,96
102,110,92,96
101,112,91,96
104,111,89,96
105,113,90,92
105,111,92,92
105,110,91,94
107,111,91,91
107,110,93,90
108,107,94,91
107,107,95,91
108,107,95,90
112,103,95,90
112,102,95,91
113,102,95,90
115,102,94,89
114,104,93,89
112,105,92,91
110,104,94,92
110,106,93,91
106,104,94,96
103,100,97,100
103,98,98,101
103,97,97,103
105,93,97,105
108,94,97,101
109,93,97,101
112,95,95,98
113,93,94,100
113,92,97,98
112,94,96,98
116,93,95,96
114,94,95,97
113,95,95,97
115,95,95,95
113,95,94,98
113,95,95,97
110,97,95,98
109,99,95,97
111,99,96,94
111,99,96,94
112,97,96,95
110,98,97,95
108,98,96,98
110,99,95,96
110,99,95,96
112,97,97,94
110,97,98,95
108,96,98,98
109,96,98,97
110,95,98,97
112,92,99,97
113,95,95,97
113,95,97,95
112,95,96,97
116,94,94,96
116,95,93,96
117,97,91,95
117,98,89,96
119,98,90,93
121,97,90,92
123,98,87,92
121,99,87,93
120,99,86,95
120,97,90,93
117,99,91,93
117,98,93,92
119,100,91,90
119,100,89,92
116,101,87,96
117,100,90,93
116,100,92,92
117,99,92,92
119,99,91,91
120,98,93,89
120,100,89,91
117,100,91,92
114,99,91,96
114,99,90,97
113,100,91,96
113,99,91,97
113,101,91,95
113,102,91,94
114,101,92,93
115,98,92,95
116,97,94,93
116,95,96,93
116,95,100,89
112,96,100,92
112,96,101,91
111,96,102,91
114,94,102,90
112,92,102,94
111,89,102,98
113,89,103,95
112,88,104,96
114,87,106,93
112,89,107,92
111,87,110,92
110,87,110,93
107,87,109,97
105,86,110,99
103,87,110,100
100,90,107,103
100,91,106,103
102,91,106,101
101,89,109,101
98,92,107,103
98,90,107,105
96,90,110,104
95,89,110,106
98,87,110,105
97,87,110,106
99,88,112,101
101,90,112,97
100,91,111,98
102,90,110,98
102,89,111,98
102,90,110,98
104,90,112,94
104,90,110,96
106,90,109,95
108,91,110,91
108,94,112,86
108,93,111,88
109,92,111,88
108,91,112,89
107,89,109,95
107,88,108,97
107,88,108,97
106,88,107,99
108,86,106,100
107,86,106,101
106,87,107,100
106,88,108,98
106,88,109,97
105,88,107,100
106,89,108,97
107,89,107,97
105,89,109,97
106,89,109,96
105,87,110,98
109,85,106,100
109,86,107,98
108,85,107,100
106,90,105,99
106,93,105,96
107,93,104,96
109,93,105,93
110,92,105,93
109,92,108,91
109,93,106,92
109,93,106,92
111,94,105,90
112,94,104,90
112,95,104,89
112,96,102,90
113,95,102,90
111,95,103,91
112,95,102,91
115,94,101,90
113,93,104,90
112,93,101,94
114,92,102,92
115,91,101,93
118,89,99,94
119,90,98,93
118,90,100,92
118,92,98,92
119,89,98,94
118,90,99,93
117,93,99,91
119,95,96,90
122,95,96,87
122,95,95,88
123,95,95,87
123,95,94,88
124,95,94,87
123,95,93,89
123,95,93,89
124,96,97,83
123,96,99,82
119,95,101,85
118,95,101,86
119,93,102,86
121,92,99,88
122,92,99,87
120,91,101,88
121,92,99,88
123,92,99,86
122,91,99,88
123,89,99,89
124,87,99,90
127,83,99,91
126,83,98,93
128,83,99,90
130,80,98,92
128,81,100,91
128,83,99,90
129,82,100,89
128,82,99,91
129,83,98,90
128,83,99,90
130,84,97,89
128,84,98,90
128,84,98,90
126,85,98,91
126,84,99,91
126,83,99,92
125,86,100,89
126,87,98,89
126,88,97,89
123,90,97,90
126,90,97,87
126,90,95,89
124,89,99,88
123,91,99,87
123,91,100,86
122,94,99,85
121,96,98,85
123,96,98,83
124,97,98,81
126,97,99,78
125,96,100,79
127,97,99,77
128,97,99,76
127,96,100,77
124,96,104,76
122,95,105,78
123,95,104,78
122,96,104,78
123,97,104,76
122,98,106,74
122,101,105,72
122,101,106,71
120,102,107,71
121,101,108,70
122,101,108,69
123,101,107,69
122,102,105,71
123,104,104,69
122,101,106,71
124,100,105,71
125,100,105,70
127,100,105,68
128,101,104,67
129,101,104,66
129,100,104,67
128,101,103,68
125,103,105,67
124,103,106,67
126,102,105,67
127,104,105,64
124,105,105,66
125,104,104,67
124,104,103,69
125,104,103,68
127,102,102,69
128,101,103,68
127,102,102,69
128,102,104,66
128,102,105,65
128,102,105,65
130,103,107,60
130,102,107,61
130,104,107,59
128,104,109,59
129,104,108,59
130,106,108,56
128,107,108,57
128,107,107,58
128,106,107,59
126,105,107,62
128,104,107,61
128,105,105,62
127,105,107,61
129,104,108,59
127,105,110,58
126,104,111,59
126,100,110,64
124,98,113,65
125,96,112,67
123,96,115,66
123,98,115,64
125,97,115,63
126,97,115,62
125,99,114,62
125,97,117,61
126,97,116,61
125,93,120,62
124,93,119,64
122,92,120,66
123,93,120,64
125,93,120,62
125,91,120,64
126,89,120,65
126,91,119,64
127,90,120,63
125,89,119,67
127,88,120,65
127,86,122,65
131,85,123,61
132,84,124,60
135,84,123,58
136,85,120,59
136,87,121,56
137,87,122,54
137,89,121,53
138,89,118,55
140,89,118,53
140,88,117,55
141,89,115,55
141,89,113,57
142,90,111,57
141,91,110,58
142,91,108,59
144,89,106,61
145,88,106,61
142,90,106,62
143,89,107,61
143,88,110,59
144,85,112,59
143,86,112,59
142,85,117,56
142,85,119,54
142,85,118,55
141,86,116,57
143,84,115,58
145,84,115,56
144,84,115,57
146,84,115,55
146,84,114,56
148,84,112,56
147,83,113,57
146,83,114,57
144,83,114,59
144,83,113,60
143,82,115,60
141,83,116,60
141,84,118,57
140,82,120,58
142,82,119,57
144,82,119,55
144,80,120,56
148,81,119,52
148,82,120,50
146,82,119,53
147,81,120,52
144,82,123,51
144,81,123,52
145,81,122,52
145,81,121,53
142,80,122,56
145,79,122,54
145,79,121,55
143,81,122,54
144,81,122,53
143,81,122,54
141,79,124,56
140,77,126,57
139,78,125,58
137,77,126,60
139,78,124,59
139,78,124,59
141,78,122,59
142,79,122,57
141,78,124,57
141,77,124,58
139,76,127,58
136,78,127,59
134,78,127,61
135,79,125,61
134,78,124,64
134,77,126,63
135,77,126,62
136,77,127,60
136,76,129,59
133,78,130,59
134,77,130,59
134,77,132,57
135,78,129,58
136,78,129,57
137,78,129,56
137,78,132,53
137,78,132,53
136,78,132,54
137,80,131,52
136,80,132,52
135,79,134,52
132,82,132,54
132,82,134,52
132,83,133,52
131,83,134,52
131,84,134,51
134,83,133,50
134,83,133,50
135,84,130,51
134,83,130,53
132,85,131,52
133,86,129,52
132,86,128,54
131,85,128,56
132,84,130,54
131,85,130,54
129,85,130,56
129,85,129,57
128,87,127,58
128,87,124,61
126,88,121,65
129,89,119,63
128,90,120,62
126,92,121,61
127,92,119,62
127,91,119,63
127,89,120,64
126,88,119,67
130,85,118,67
129,87,117,67
129,88,117,66
129,87,117,67
131,87,116,66
131,84,117,68
130,84,114,72
131,84,113,72
130,85,112,73
130,84,112,74
129,85,112,74
128,85,111,76
129,85,110,76
131,85,110,74
129,85,111,75
135,85,106,74
137,85,105,73
137,84,107,72
137,83,108,72
135,83,109,73
136,83,109,72
136,83,109,72
138,83,109,70
138,84,108,70
142,79,109,70
141,78,107,74
141,78,108,73
