Tipo 1,Tipo 2,Tipo 3,Patogeno
330,202,140,293
330,202,140,293
330,202,140,293
330,202,140,293
330,202,140,293
330,202,140,293
329,203,141,292
329,203,143,290
330,207,143,285
330,208,142,285
332,212,141,280
333,212,141,279
333,212,142,278
333,212,142,278
334,211,141,279
335,212,139,279
337,212,140,276
339,211,142,273
343,212,140,270
345,214,140,266
342,215,142,266
346,216,142,261
343,220,143,259
342,218,143,262
343,218,143,261
345,223,142,255
347,225,142,251
349,225,140,251
348,227,140,250
348,227,142,248
347,229,141,248
350,228,142,245
353,228,141,243
356,229,143,237
357,228,142,238
354,227,142,242
352,229,141,243
350,229,140,246
352,233,139,241
353,231,138,243
357,232,136,240
356,235,137,237
357,236,136,236
357,238,136,234
359,239,137,230
360,238,137,230
361,240,136,228
366,239,134,226
366,238,135,226
364,242,137,222
366,243,136,220
367,245,135,218
369,245,136,215
370,245,136,214
373,245,136,211
374,246,135,210
373,246,135,211
374,248,135,208
376,252,134,203
376,252,134,203
375,253,135,202
375,254,135,201
375,253,136,201
375,253,138,199
378,253,138,196
378,254,140,193
377,257,140,191
375,259,141,190
373,264,139,189
370,265,139,191
371,266,139,189
372,268,139,186
372,268,138,187
374,269,137,185
371,271,137,186
371,272,137,185
370,274,138,183
372,274,136,183
371,275,136,183
371,276,136,182
370,277,136,182
370,279,137,179
370,281,137,177
368,283,137,177
369,285,137,174
368,287,137,173
368,289,136,172
366,289,135,175
363,292,138,172
362,293,138,172
359,295,138,173
