Tipo 1,Tipo 2,Tipo 3,Patogeno
329,204,135,296
324,206,132,302
323,209,132,300
321,209,131,303
325,207,130,302
327,212,130,295
328,213,130,293
327,215,130,292
331,212,128,293
331,215,128,290
329,218,128,289
330,220,127,287
329,220,131,284
330,218,132,284
326,222,132,284
331,222,130,281
331,221,130,282
331,225,129,279
334,224,128,278
336,224,124,280
339,224,125,276
342,223,124,275
347,224,124,269
347,222,124,271
347,223,124,270
350,223,122,269
351,221,122,270
352,221,124,267
351,220,125,268
349,217,125,273
349,215,124,276
348,215,124,277
351,218,122,273
349,217,122,276
350,219,121,274
350,220,121,273
351,221,120,272
351,223,120,270
351,226,119,268
351,226,118,269
350,228,117,269
349,232,117,266
351,233,116,264
351,236,118,259
353,237,118,256
353,234,118,259
356,234,117,257
356,234,117,257
355,232,117,260
353,233,116,262
356,236,115,257
355,235,116,258
354,237,112,261
351,238,114,261
351,238,114,261
352,239,114,259
350,241,114,259
349,241,113,261
349,241,114,260
350,243,114,257
351,245,114,254
349,248,114,253
350,246,114,254
348,246,113,257
349,246,113,256
353,246,112,253
352,247,112,253
351,249,113,251
351,249,115,249
352,250,115,247
353,252,115,244
354,251,116,243
354,252,117,241
356,258,117,233
353,259,118,234
353,259,117,235
352,261,116,235
353,260,117,234
351,260,115,238
349,258,116,241
346,260,116,242
345,259,117,243
351,258,117,238
354,255,116,239
350,259,118,237
351,259,119,235
354,259,119,232
355,260,119,230
355,261,119,229
355,262,118,229
353,266,120,225
353,271,119,221
355,271,119,219
355,273,119,217
354,275,119,216
357,278,119,210
356,279,117,212
359,278,117,210
361,279,117,207
362,278,118,206
361,280,118,205
363,282,117,202
364,285,117,198
363,284,117,200
363,285,115,201
362,287,114,201
365,286,114,199
364,286,114,200
364,288,115,197
363,291,115,195
363,292,115,194
362,292,115,195
364,291,115,194
366,291,116,191
367,290,117,190
367,290,116,191
367,290,117,190
365,289,117,193
367,289,116,192
365,292,117,190
363,292,118,191
364,292,119,189
364,292,120,188
363,293,120,188
363,295,118,188
365,296,117,186
362,298,117,187
359,299,117,189
358,301,117,188
361,304,117,182
359,305,117,183
359,305,117,183
359,306,118,181
358,306,118,182
360,308,118,178
359,309,118,178
356,311,118,179
358,310,118,178
358,309,119,178
356,309,119,180
356,306,119,183
356,306,119,183
356,307,117,184
355,308,117,184
353,310,117,184
354,309,117,184
354,309,117,184
354,308,117,185
354,308,116,186
351,311,116,186
349,312,116,187
346,316,116,186
342,318,116,188
343,320,116,185
344,320,116,184
344,322,114,184
344,321,115,184
342,322,114,186
342,319,113,190
340,321,114,189
338,325,114,187
338,327,116,183
337,327,115,185
338,326,115,185
340,326,114,184
340,326,115,183
340,327,115,182
338,328,115,183
338,330,115,181
339,332,116,177
340,332,117,175
339,330,117,178
338,331,117,178
338,330,117,179
339,332,118,175
337,334,118,175
337,337,118,172
338,336,117,173
336,336,117,175
336,337,118,173
338,337,117,172
336,340,117,171
333,340,117,174
330,339,117,178
327,341,119,177
328,340,119,177
327,342,119,176
328,343,120,173
329,343,120,172
329,343,119,173
330,342,119,173
328,343,119,174
328,342,119,175
329,342,119,174
329,342,119,174
328,342,120,174
330,341,120,173
330,342,120,172
330,342,120,172
332,345,120,167
332,347,120,165
333,347,120,164
335,348,120,161
334,348,120,162
334,348,120,162
335,349,120,160
336,349,120,159
336,348,120,160
335,350,120,159
332,350,120,162
333,351,120,160
333,350,120,161
335,352,119,158
336,352,118,158
337,351,118,158
336,352,118,158
334,351,118,161
332,353,117,162
332,355,118,159
332,355,118,159
330,357,118,159
331,358,118,157
331,358,118,157
332,357,117,158
332,357,117,158
335,358,116,155
334,358,116,156
334,359,116,155
332,359,117,156
331,360,117,156
329,361,117,157
328,360,116,160
330,360,116,158
330,364,116,154
330,365,116,153
329,365,116,154
329,366,116,153
329,367,116,152
326,369,116,153
327,371,115,151
327,372,115,150
329,371,115,149
328,372,116,148
328,373,116,147
329,373,115,147
329,372,115,148
327,374,115,148
328,374,115,147
327,375,115,147
327,376,115,146
328,378,115,143
328,379,116,141
328,378,116,142
327,380,116,141
328,380,116,140
328,381,116,139
330,382,116,136
330,384,116,134
330,383,116,135
331,383,115,135
332,382,114,136
332,384,114,134
332,385,114,133
332,386,113,133
334,385,113,132
333,387,113,131
333,387,114,130
335,386,114,129
334,387,114,129
334,387,114,129
332,388,114,130
330,389,115,130
332,388,114,130
335,388,114,127
335,388,114,127
335,387,114,128
334,388,114,128
333,389,114,128
333,388,114,129
332,389,114,129
334,390,114,126
333,387,114,130
334,387,114,129
335,389,114,126
335,389,114,126
333,388,114,129
330,388,114,132
330,388,114,132
328,389,114,133
328,389,114,133
328,390,114,132
327,392,114,131
329,392,112,131
329,391,112,132
328,395,112,129
328,395,112,129
328,395,113,128
329,395,113,127
