Tipo 1,Tipo 2,Tipo 3,Patogeno
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,97,103,106
94,98,103,105
94,98,103,105
94,98,103,105
94,98,103,105
94,98,103,105
95,98,103,104
95,97,103,105
95,97,103,105
95,98,103,104
95,98,103,104
95,98,103,104
94,98,103,105
94,98,103,105
94,98,103,105
94,98,103,105
94,98,102,106
94,98,102,106
94,98,102,106
94,98,103,105
94,98,103,105
94,98,103,105
94,98,103,105
94,98,103,105
94,98,103,105
94,98,104,104
94,98,104,104
94,98,104,104
94,98,104,104
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,97,104,104
95,97,104,104
95,98,104,103
95,98,104,103
95,98,104,103
95,98,104,103
95,98,103,104
95,99,103,103
95,99,103,103
95,99,102,104
95,99,102,104
95,99,102,104
95,99,102,104
95,99,102,104
95,99,102,104
95,99,102,104
95,100,102,103
95,100,102,103
95,100,102,103
95,100,102,103
95,100,102,103
95,101,102,102
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,102,103
94,101,101,104
94,101,101,104
94,101,101,104
94,101,101,104
94,101,101,104
94,101,101,104
94,101,101,104
94,101,101,104
94,102,101,103
94,102,101,103
94,103,101,102
94,103,101,102
94,102,101,103
94,102,102,102
94,102,101,103
94,102,101,103
94,102,101,103
94,102,101,103
94,103,100,103
94,102,100,104
94,102,100,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,101,100,104
95,101,100,104
95,101,100,104
95,101,99,105
95,101,99,105
95,101,99,105
95,101,99,105
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,99,104
96,101,98,105
95,101,98,106
95,101,98,106
95,102,98,105
95,102,98,105
95,102,98,105
95,102,98,105
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,102,99,104
95,103,99,103
95,103,99,103
95,104,99,102
95,104,99,102
95,104,99,102
95,104,99,102
95,103,99,103
95,104,99,102
95,104,99,102
95,104,100,101
95,104,100,101
95,104,100,101
95,104,100,101
95,104,100,101
94,104,101,101
94,104,101,101
94,104,101,101
94,104,101,101
94,104,101,101
94,104,101,101
94,105,100,101
95,105,100,100
95,105,100,100
95,105,100,100
95,105,100,100
95,105,100,100
95,105,100,100
95,105,100,100
95,105,100,100
95,105,100,100
95,105,99,101
95,105,99,101
95,105,99,101
95,105,99,101
94,105,99,102
94,105,99,102
95,105,99,101
95,105,99,101
95,105,99,101
95,105,99,101
95,105,99,101
95,106,98,101
95,107,98,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,107,97,100
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
95,106,97,102
95,106,97,102
95,106,97,102
95,106,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,105,97,102
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
96,106,97,101
95,107,97,101
95,107,97,101
95,107,97,101
94,107,98,101
94,107,98,101
94,107,98,101
94,107,98,101
94,107,99,100
94,107,99,100
94,107,99,100
94,107,99,100
94,107,99,100
94,107,99,100
94,107,99,100
94,107,99,100
95,107,99,99
95,107,99,99
95,107,99,99
95,107,99,99
95,107,99,99
95,107,98,100
95,107,98,100
95,107,98,100
95,107,98,100
