3  2  8  2
4  1  6  4
2  4  9  2
 0   1  10  15
 2   3   1  17
 3   4  12  10
1  0  3  2
 5   3  14  13
 0   1   8  12
 1   0  10   6
 1   1  11   3
 2   1   8  16
 5   3  13   5
 4   4  11  16
 5   3   8  10
 4   3  12   1
3  3  2  7
0  1  4  0
 0   0  11  14
0  2  9  6
3  2  2  2
 3   0  12   0
 1   4   8  13
 0   3   8  13
 4   1   8  13
2  3  1  3
 5   4  12   3
 2   2  13   6
3  0  8  4
0  3  3  1
 1   3   9  17
1  3  4  3
 2   1   2  16
 5   1   9  18
3  2  0  5
2  1  6  3
 3   3  11   3
 0   1   1  11
 0   3  10  17
4  0  6  2
 1   1  10   4
2  0  1  7
 1   2   8  10
 1   1   8  13
4  1  5  5
 3   4   9  18
1  4  5  7
 2   4  13   8
 0   4   3  12
 0   0  12   5
 1   4  10  18
0  3  9  3
 3   2   7  18
 4   2   1  15
3  0  0  0
 1   1  14   0
 1   3  14   7
3  4  7  4
 4   1   3  13
 2   4  12  17
1  3  4  3
 2   1  10  13
 3   3  14   6
 5   3  10  17
 1   2   3  13
0  1  5  8
 4   4  13  12
 0   3  15   2
2  3  6  0
 3   2   8  20
 2   1  14  11
 3   2  13  14
 1   2  12  13
 1   3   1  19
5  4  7  9
 3   1   3  20
 1   2  15   1
 3   2  13  13
 3   1  14  11
 4   3   5  14
5  2  9  6
 5   4  13   8
 5   1  10  10
 3   2  13  18
 1   4  10  15
 3   1  13   1
 3   1   5  19
 2   1  14   0
 5   3   9  18
 3   3  11   8
 2   3   8  19
 5   3  14  16
 0   0  13  18
 3   1  12   3
 3   2   4  15
3  4  7  3
 0   0   8  17
 3   1  10   4
 4   3  14  16
 2   1  13  15
