Tipo 1,Tipo 2,Tipo 3,Patogeno
95,106,121,123,131
95,106,121,123,131
95,106,121,123,131
95,106,121,123,131
95,106,121,123,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,121,122,131
96,106,122,121,131
96,106,122,121,131
96,106,122,121,131
96,106,122,121,131
96,106,122,121,131
96,106,122,121,131
96,106,122,121,131
96,106,122,121,131
95,107,122,121,131
95,107,122,121,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,122,122,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,108,121,122,131
94,108,121,122,131
94,108,121,122,131
94,108,121,122,131
94,108,121,122,131
94,108,121,122,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,107,121,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,121,122,131
94,108,121,122,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,109,120,122,131
94,109,120,122,131
94,109,120,122,131
94,109,120,122,131
94,109,120,122,131
94,109,120,122,131
94,109,120,122,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,119,124,131
94,108,119,124,131
94,108,119,124,131
94,108,119,124,131
94,108,119,124,131
94,108,119,124,131
94,108,119,124,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,118,126,131
93,108,119,125,131
93,108,119,125,131
93,108,119,125,131
94,107,119,125,131
94,107,119,125,131
94,107,119,125,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,107,120,124,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
94,108,120,123,131
