Tipo 1,Tipo 2,Tipo 3,Patogeno
82,58,34,76
82,58,34,76
82,58,34,76
82,58,34,76
82,58,34,76
82,57,34,77
83,57,34,76
83,57,34,76
84,57,34,75
84,57,34,75
85,57,34,74
85,57,34,74
86,57,34,73
86,57,34,73
86,57,34,73
86,57,35,72
86,57,35,72
86,58,35,71
84,57,36,73
85,57,36,72
83,57,35,75
83,58,37,72
83,58,35,74
83,61,35,71
83,63,34,70
81,64,34,71
80,66,34,70
78,68,35,69
78,67,32,73
76,68,32,74
73,69,32,76
74,66,31,79
72,67,30,81
70,67,28,85
69,68,28,85
69,65,28,88
69,68,27,86
67,68,27,88
71,66,26,87
72,66,26,86
73,70,26,81
73,69,28,80
72,71,28,79
73,72,28,77
74,74,28,74
76,76,26,72
78,75,25,72
76,75,25,74
76,76,25,73
75,76,25,74
76,78,25,71
75,78,24,73
75,77,24,74
77,76,25,72
77,75,25,73
78,73,24,75
77,74,24,75
75,76,24,75
80,78,24,68
78,80,25,67
78,81,23,68
76,84,23,67
77,83,23,67
77,83,25,65
77,86,26,61
77,88,27,58
76,89,28,57
75,88,28,59
73,89,28,60
75,90,28,57
77,89,28,56
80,89,29,52
79,90,30,51
78,93,31,48
78,93,31,48
77,93,30,50
76,96,30,48
77,98,31,44
76,100,31,43
76,103,31,40
78,105,31,36
79,106,30,35
76,109,30,35
76,109,29,36
77,109,29,35
75,111,29,35
74,113,29,34
72,116,29,33
69,119,29,33
71,118,28,33
71,120,26,33
71,120,26,33
72,122,26,30
71,124,26,29
71,125,26,28
72,124,25,29
71,127,25,27
74,131,25,20
75,131,25,19
72,133,25,20
72,135,24,19
72,136,24,18
72,136,24,18
71,139,24,16
71,140,24,15
72,143,24,11
72,143,24,11
70,145,24,11
67,147,23,13
66,147,24,13
65,148,24,13
65,148,25,12
64,149,25,12
64,150,25,11
64,150,25,11
60,155,25,10
59,155,25,11
58,156,25,11
56,158,25,11
56,158,25,11
57,160,25,8
58,160,25,7
58,161,25,6
56,163,25,6
56,163,25,6
55,163,25,7
55,163,25,7
53,165,25,7
53,165,25,7
53,166,25,6
52,167,25,6
50,169,24,7
50,169,24,7
50,169,24,7
49,170,24,7
49,170,24,7
49,170,23,8
49,170,23,8
47,171,23,9
48,172,23,7
47,173,23,7
45,177,22,6
45,177,22,6
44,178,23,5
44,179,23,4
44,179,23,4
43,181,23,3
42,181,23,4
41,182,23,4
41,182,23,4
40,183,23,4
39,184,23,4
38,186,23,3
38,186,23,3
38,186,23,3
38,185,23,4
38,185,23,4
38,183,23,6
38,183,23,6
37,184,23,6
37,184,23,6
37,184,23,6
37,184,23,6
37,184,23,6
37,186,23,4
37,187,23,3
37,188,23,2
35,190,23,2
36,190,23,1
35,192,23,0
35,192,23,0
34,193,23,0
33,195,22,0
33,195,22,0
33,195,22,0
32,196,22,0
